location,geom,latitude,longitude
"(30.038058008305, -89.9237474205027)",,30.03805801,-89.92374742
"(29.9250621391648, -90.0872306394555)",,29.92506214,-90.08723064
"(29.9363939917083, -90.0920816931292)",,29.93639399,-90.09208169
"(29.9973645344244, -90.0352255693063)",,29.99736453,-90.03522557
"(29.9394348613897, -90.0870571899244)",,29.93943486,-90.08705719
"(29.9939797647148, -90.1197942284943)",,29.99397976,-90.11979423
"(29.9646028420271, -90.1253859135377)",,29.96460284,-90.12538591
"(30.0228433899625, -90.0201950302792)",,30.02284339,-90.02019503
"(29.9514282054139, -90.1102215920606)",,29.95142821,-90.11022159
"(29.9736669007341, -90.1250324351068)",,29.9736669,-90.12503244
"(29.9495005474091, -90.0706091322183)",,29.94950055,-90.07060913
"(30.0422913708799, -89.9827126195337)",,30.04229137,-89.98271262
"(29.9138442047214, -90.0005242695003)",,29.9138442,-90.00052427
"(29.9211903921891, -89.9975935890345)",,29.92119039,-89.99759359
"(30.0104566238405, -90.043322871642)",,30.01045662,-90.04332287
"(29.9295045263018, -90.0042559363493)",,29.92950453,-90.00425594
"(29.9183619798801, -90.1201126889484)",,29.91836198,-90.12011269
"(29.9321247810841, -90.1061607982651)",,29.93212478,-90.1061608
"(29.9224089957233, -90.0849966063643)",,29.922409,-90.08499661
"(29.956388292259, -90.0788715312748)",,29.95638829,-90.07887153
"(29.9537311543078, -90.1163365054065)",,29.95373115,-90.11633651
"(29.9480490149847, -90.0953214535593)",,29.94804901,-90.09532145
"(29.9252470397394, -89.9965989986677)",,29.92524704,-89.996599
"(29.9863608977478, -90.0388245511484)",,29.9863609,-90.03882455
"(30.0228783307709, -90.0696470620914)",,30.02287833,-90.06964706
"(29.9456884682382, -90.1022259233484)",,29.94568847,-90.10222592
"(29.9376024387804, -90.1096153830255)",,29.93760244,-90.10961538
"(30.0188926683568, -90.068845277113)",,30.01889267,-90.06884528
"(29.947365420248, -90.1314137874829)",,29.94736542,-90.13141379
"(29.9929529795861, -90.0595610722578)",,29.99295298,-90.05956107
"(29.9700952065985, -90.0486676799533)",,29.97009521,-90.04866768
"(29.956011764459, -90.1255113296845)",,29.95601176,-90.12551133
"(29.992347813826, -90.111625219679)",,29.99234781,-90.11162522
"(29.9771669232257, -90.1010947956857)",,29.97716692,-90.1010948
"(29.9524846036274, -90.1245407669958)",,29.9524846,-90.12454077
"(29.9724849781443, -90.1122521145274)",,29.97248498,-90.11225211
"(29.9969470652891, -90.0561149272045)",,29.99694707,-90.05611493
"(29.9533493061054, -90.115286750303)",,29.95334931,-90.11528675
"(29.9802685274138, -90.0566988673484)",,29.98026853,-90.05669887
